person_id,name,title,organization,type,tickers,age,born,pay,exercised,unexercised
PER-4104,Sang  Yi,Group President of Asia Pacific,,executive,ZBH,63,1962,1404260,61090,115451
PER-4105,Sanjay  Mehrotra,"CEO, President & Chairman",,executive,MU,66,1959,5580117,0,0
PER-4106,Sanjay  Mehta,Executive Advisor,,executive,TER,56,1969,1349861,179850,146655
PER-4107,Sanjay  Sood,CTO & Senior VP,,executive,CDW,,,,0,0
PER-4108,"Sanjay K. Shetty M.B.A., M.D.",President of CenterWell,,executive,HUM,51,1974,2013074,0,0
PER-4109,Sanjiv  Lamba,CEO & Director,,executive,LIN,61,1964,4323214,7179750,26136152
PER-4110,Sanjiv  Yajnik,President of Financial Services,,executive,COF,68,1957,3981334,0,0
PER-4111,Sano  Blocker,Senior Vice President of Government Affairs,,executive,VST,,,,0,0
PER-4112,Sanoke  Viswanathan,CEO & Director,,executive,FDS,50,1975,,0,0
PER-4113,Santiago  Chamorro,President & MD of South America,,executive,GM,,,,0,0
PER-4114,Santiago  Tenorio,CTO & Senior VP of Strategy and Technology Enablement,,executive,VZ,,,,0,0
PER-4115,Sara  Granack,Vice President of Corporate Communications & Reputation,,executive,CDW,<NA>,<NA>,<NA>,0,0
PER-4116,Sara  Varni,Chief Marketing Officer,,executive,DDOG,,,,0,0
PER-4117,Sara M. Verbsky,Vice President of Investor Relations,,executive,SNA,,,,0,0
PER-4118,Sarah  Fenton,Executive Vice President of Upstream,,executive,EQT,46,1979,,0,0
PER-4119,Sarah  Inmon,Head of Investor Relations & Corporate Communications,,executive,NCLH,,,,0,0
PER-4120,Sarah  Martin,Executive VP & President of Home Comfort Solutions,,executive,LII,,,,0,0
PER-4121,Sarah  Siddiqui,Executive VP & Chief Human Resources Officer,,executive,NDSN,47,1978,,0,0
PER-4122,Sarah E. Pohmer,Senior EVP & Chief Human Resources Officer,,executive,HBAN,49,1976,,0,0
PER-4123,Sarah F. Knakmuhs,Chief Communications Officer,,executive,MTB,,,,0,0
PER-4124,Sarah H. King,Senior VP & Chief People Officer,,executive,DRI,55,1970,,0,0
PER-4125,Sarah J. Piper,Chief Human Relations Officer,,executive,MKC,49,1976,1195997,0,156180
PER-4126,Sarah L. Wynne,Chief Financial Officer,,executive,TDG,52,1973,11399291,4457965,33381436
PER-4127,Sarah M. London,CEO & Director,,executive,CNC,44,1981,5972016,0,0
PER-4128,Sarah M. Youngwood,Executive VP & CFO,,executive,NDAQ,51,1974,2625158,0,0
PER-4129,Sarfraz  Nakai,Chief People Officer,,executive,GDDY,,,,0,0
PER-4130,Saria  Tseng,"EVP of Strategic Corporate Development, General Counsel & Corporate Secretary",,executive,MPWR,54,1971,3490913,0,0
PER-4131,Sassine  Ghazi,"CEO, President & Director",,executive,SNPS,55,1970,3495288,14846394,43806056
PER-4132,Satish  Maripuri,Senior VP & Group Executive,,executive,ROP,59,1966,,0,0
PER-4133,Satya  Kumar,Corporate VP of Investor Relations & Treasurer,,executive,MU,,,,0,0
PER-4134,Satya  Nadella,Chairman & CEO,,executive,MSFT,58,1967,12251294,0,0
PER-4135,Saugata  Saha,Chief Enterprise Data Officer & President of S&P Global Market Intelligence,,executive,SPGI,50,1975,2723445,0,0
PER-4136,Saul M. Kredi,VP & Chief Accounting Officer,,executive,SBAC,56,1969,,0,0
PER-4137,Saverio  Mayer,"President & Chief Executive Officer of Europe, MEA & APAC",,executive,SW,59,1966,1714732,0,0
PER-4138,Scot  Fluharty,President of Underground Utilities & Industrial,,executive,PWR,,,,0,0
PER-4139,Scot D. Greulach,Chief Accounting Officer,,executive,SWK,43,1982,,0,0
PER-4140,Scott  Boatwright,CEO & Director,,executive,CMG,52,1973,2515513,0,7425661
PER-4141,Scott  Christensen,Senior Vice President of Global Supply Chain & Regulatory Affairs,,executive,HOLX,,,,0,0
PER-4142,Scott  Coutts,Chief Global Operations Officer,,executive,PM,,,,0,0
PER-4143,Scott  Cundy,"Senior VP, Chief Quality, Development, & Innovation Officer",,executive,MDT,,,,0,0
PER-4144,Scott  Hudson,VP & Chief Information Officer,,executive,TDY,63,1962,,0,0
PER-4145,Scott  McLaughlin CPA,Senior Vice President of Investor Relations & Tax,,executive,INVH,,,,0,0
PER-4146,Scott  Pintoff J.D.,General Counsel & Corporate Secretary,,executive,MKTX,54,1971,,0,0
PER-4147,Scott  Reese,Chief Executive Officer of Electrification Software,,executive,GEV,53,1972,,0,0
PER-4148,Scott  Skellenger,Senior VP & Chief Information Officer,,executive,AMGN,,,,0,0
PER-4149,Scott  Vail,Chief Supply Chain & Operations Officer,,executive,BALL,,,,0,0
PER-4150,Scott A. Crum,Chief Human Resources Officer,,executive,MSCI,68,1957,1397448,0,0
PER-4151,Scott A. Dufour,Global Chief Information Officer,,executive,CPAY,56,1969,,0,0
PER-4152,Scott A. Garula,Executive VP & CFO,,executive,CTAS,54,1971,,0,0
PER-4153,Scott A. Genereux,Senior VP & Chief Revenue Officer,,executive,ROK,62,1963,1192306,0,757323
PER-4154,Scott A. Hudson,Executive VP & President of Retail,,executive,VST,60,1965,1640571,20314730,28583030
PER-4155,Scott A. Roe CPA,CFO & COO,,executive,TPR,60,1965,3344624,4654900,2424778
PER-4156,Scott A. Stengel J.D.,"Senior EVP, Chief Legal Officer, Head of Government Affairs & Corporate Secretary",,executive,TFC,53,1972,,0,0
PER-4157,Scott Alan Curtis,Chief Operating Officer,,executive,RJF,62,1963,4007795,0,0
PER-4158,Scott Andrew Smith Ph.D.,CEO & Director,,executive,VTRS,63,1962,4959358,0,0
PER-4159,Scott B. McIntosh,"Chief Accounting Officer, Controller & VP",,executive,CMS,49,1976,,0,0
PER-4160,Scott B. Ullem,Corporate VP & CFO,,executive,EW,58,1967,1370359,2221842,2251568
PER-4161,Scott C. Donnelly,Executive Chairman,,executive,TXT,63,1962,3216030,20570956,29755146
PER-4162,Scott C. Gawel,Corporate VP & Chief Accounting Officer,,executive,INTC,54,1971,,0,0
PER-4163,Scott C. Hensel,Executive Vice President of Global Services & Delivery,,executive,IT,52,1973,1539532,5211519,8501987
PER-4164,Scott D. Farmer,Executive Chairman,,executive,CTAS,66,1959,807624,0,0
PER-4165,Scott D. Kirkland,Chief Financial Officer,,executive,ECL,51,1974,2709817,382984,4494550
PER-4166,Scott D. Kleinman,Senior Executive VP & President of Commercial Banking,,executive,HBAN,55,1970,1512604,927362,278686
PER-4167,Scott D. Schingen,"Senior Vice President of Engineering and Operations  Natural Gas Liquids, Pipelines & Crude Oil",,executive,OKE,,,,0,0
PER-4168,Scott E. Case,Executive VP & Head of Global Technology and Operations,,executive,PRU,54,1971,,0,0
PER-4169,Scott E. Powell,Senior EVP & COO,,executive,WFC,63,1962,4616050,0,0
PER-4170,Scott E. Sullivan,"Group Head, Chief Business Integrity & Compliance Officer",,executive,NEM,,,,0,0
PER-4171,Scott F. Schenkel,Chief Financial Officer,,executive,EXPE,57,1968,,0,0
PER-4172,Scott G. Eisen,Executive VP & Chief Investment Officer,,executive,INVH,55,1970,1759050,0,0
PER-4173,Scott J. DeBoer Ph.D.,Executive VP and Chief Technology & Products Officer,,executive,MU,59,1966,1974634,0,0
PER-4174,Scott J. Fenster J.D.,"Executive VP, General Counsel & Corporate Secretary",,executive,EQR,49,1976,1337085,10750,570251
PER-4175,Scott L. Robins,President of West Division,,executive,BLDR,58,1967,1021026,0,0
PER-4176,Scott M. Brinker,"President, CEO & Director",,executive,DOC,48,1977,2751476,0,0
PER-4177,Scott M. Jennings,President and COO of PSEG Long Island,,executive,PEG,,,,0,0
PER-4178,Scott Martin Kleinman,Co-President of Apollo Asset Management & Director,,executive,APO,52,1973,10299641,0,0
PER-4179,Scott P. Hegstrom,Vice President of Investor Relations & Treasurer,,executive,TXT,,,,0,0
PER-4180,Scott R. Allen,Corporate VP & Chief Accounting Officer,,executive,MU,57,1968,,0,0
PER-4181,Scott R. Bohn,Chief Development Officer & Head of Lab,,executive,DOC,45,1980,1404996,0,0
PER-4182,Scott R. Grandt,Senior Vice President of U.S. Assets & Corporate Development,,executive,APA,,,,0,0
PER-4183,Scott Richard Ross,Executive VP & CIO,,executive,ORLY,59,1966,857279,0,160043
PER-4184,Scott S. Johnson,Regional President,,executive,LEN,,,,0,0
PER-4185,Scott T. Reents,Executive VP & CFO,,executive,ABBV,58,1967,3821680,1641500,6763109
PER-4186,Scott T. Schnell,Senior VP & Executive Strategic Advisor,,executive,VRSN,67,1958,,0,0
PER-4187,Scott W. Beilharz,Vice President of Capital Management & Investor Relations,,executive,ERIE,,,,0,0
PER-4188,Scott W. Parson,Senior Vice President of Americas Materials West,,executive,CRH,,,,0,0
PER-4189,Scott Wayne Anglin,"SVP, Treasurer & Chief Investment Officer",,executive,ELV,,,,0,0
PER-4190,Sean  Christensen,Vice President of Finance and Investor Relations,,executive,DXCM,,,,0,0
PER-4191,Sean  Christofferson,VP & General Counsel,,executive,ANET,,,,0,0
PER-4192,Sean  Godbout,Chief Accounting Officer & Global Corporate Controller,,executive,BIIB,,,,0,0
PER-4193,Sean  Moshier,Vice President of Investor Relations,,executive,AIZ,,,,0,0
PER-4194,Sean C. Tresvant,Chief Consumer Officer & CEO of Taco Bell,,executive,YUM,54,1971,1702553,0,143288
PER-4195,Sean Christopher Meakim C.F.A.,Vice President of Investor Relations,,executive,HON,,,,0,0
PER-4196,"Sean David Dugan AU, C.I.C., C.P.C.U.",Executive VP of Human Resources & Corporate Services,,executive,ERIE,56,1969,,0,0
PER-4197,Sean F. Durbin,COO & EVP,,executive,LIN,54,1971,1645322,3681182,8209864
PER-4198,Sean J. Breslin,Chief Operating Officer,,executive,AVB,58,1967,1912060,0,692210
PER-4199,Sean Jeffrey Edgett,Chief Legal Officer & Secretary,,executive,MTCH,47,1978,414145,0,0
PER-4200,Sean M. Connolly,"President, CEO & Director",,executive,CAG,60,1965,3866391,0,0
PER-4201,Sean M. Gillen,Senior VP & CFO,,executive,IEX,39,1986,,0,0
PER-4202,Sean M. Maher,VP of Investor Relations & Chief Economist,,executive,PSX,52,1973,,0,0
PER-4203,Sean Michael Walters,Chief Revenue Officer,,executive,DDOG,53,1972,704752,0,0
PER-4204,"Sean T. Willson CFA, CPA","Senior VP, Corporate Controller & Principal Accounting Officer",,executive,AVB,,,,0,0
PER-4205,Sebastien  Lehnherr,Chief Information Officer,,executive,SLB,,,,0,0
PER-4206,Seemantini  Godbole,Executive VP and Chief Information & Digital Officer,,executive,LOW,55,1970,1693105,8754471,1661529
PER-4207,Selene  Oh,Head of Investor Relations,,executive,BEN,,,,0,0
PER-4208,Sergey  Brin,Co-Founder & Director,,executive,GOOG;GOOGL,51,1974,1,0,0
PER-4209,Sergio  Letelier,"Senior Vice President of Corporate Development, Planning & Strategy",,executive,ETN,,,,0,0
