symbol,name,title,age,born,pay,exercised,unexercised
BR,Mr. Gregg  Rosenberg,Global Head of Corporate Communications,<NA>,<NA>,<NA>,0,0
BR,Mr. Richard J. Daly,Chair Emeritus,72,1953,<NA>,0,0
BR,Mr. Thomas P. Carey,"Corporate VP, Executive Officer and President of Global Technology & Operations",53,1972,1909739,2905915,4387229
BR,Mr. Timothy C. Gokey,"CEO, Executive Officer & Executive Director",63,1962,2671464,19617740,63514224
BR,Mr. Tyler  Derr,Chief Technology Officer,<NA>,<NA>,<NA>,0,0
BR,Mr. W. Edings Thibault,Head of Investor Relations & Corporate Communications,<NA>,<NA>,<NA>,0,0
BR,Ms. Ashima  Ghei,"Corporate VP, Executive Officer & Chief Finance Officer",45,1980,1073174,0,242890
BR,Ms. Hope M. Jarkowski,"Corporate VP, Executive Officer & Chief Legal Officer",50,1975,1105082,0,158925
BR,Ms. Roz  Smith,Chief Operating Officer,<NA>,<NA>,<NA>,0,0
BRK.B,Mr. Adam M. Johnson,"President of Consumer Products, Service & Retailing",53,1972,<NA>,0,0
BRK.B,Mr. Ajit  Jain,Vice Chairman of Insurance Operations & Director,73,1952,21017250,0,0
BRK.B,Mr. Daniel Jerome Jaksich,"VP, Controller & Principal Accounting Officer",<NA>,<NA>,<NA>,0,0
BRK.B,Mr. Gregory Edward Abel,"CEO, President & Director",63,1962,21017250,0,0
BRK.B,Mr. Kerby S. Ham,Treasurer,<NA>,<NA>,<NA>,0,0
BRK.B,Mr. Marc David Hamburg,"Senior VP, CFO & Secretary",75,1950,4081046,0,0
BRK.B,Mr. Michael J. O'Sullivan,Senior VP & General Counsel,<NA>,<NA>,<NA>,0,0
BRK.B,Mr. Peter James Eastwood,CEO & President of Specialty Insurance,<NA>,<NA>,<NA>,0,0
BRK.B,Ms. Kara Lee Raiguel,CEO & President of General Re Unit,<NA>,<NA>,<NA>,0,0
BRO,Jenny  Goco,Director of Communications,<NA>,<NA>,<NA>,0,0
BRO,Mr. Chris L. Walker,Executive Vice President & Chairman of Specialty Distribution Segment,67,1958,3601218,0,0
BRO,Mr. J. Powell Brown C.P.C.U.,"CEO, President & Director",57,1968,8725857,0,0
BRO,Mr. J. Scott Penny C.I.C.,Executive VP & Chief Acquisitions Officer,58,1967,2729775,0,0
